date,1. open,2. high,3. low,4. close,5. volume
2021-03-22,37.14,37.45,35.73,36.57,19961.0
2021-03-19,35.84,38.13,35.2506,37.15,58352.0
2021-03-18,36.37,36.63,35.845,36.26,17318.0
2021-03-17,35.95,37.0339,35.9,36.5,14375.0
2021-03-16,36.71,37.4,36.03,36.3,13363.0
2021-03-15,36.5265,36.89,36.06,36.63,20092.0
2021-03-12,37.06,37.1,35.88,36.29,28081.0
2021-03-11,37.01,37.77,36.02,36.81,24095.0
2021-03-10,36.65,38.34,36.65,37.45,20649.0
2021-03-09,34.87,37.41,34.87,36.77,21657.0
2021-03-08,34.21,35.8799,34.21,34.79,42383.0
2021-03-05,33.89,34.61,33.7,34.29,30364.0
2021-03-04,35.92,36.42,33.15,34.09,49964.0
2021-03-03,36.64,37.65,35.94,35.94,19871.0
2021-03-02,37.33,37.67,35.51,36.57,13671.0
2021-03-01,34.75,37.52,34.75,37.52,16189.0
2021-02-26,35.51,36.15,34.1,34.1,13739.0
2021-02-25,35.24,36.27,35.04,35.04,16823.0
2021-02-24,35.0,36.89,34.86,34.86,13685.0
2021-02-23,35.66,36.3,34.52,34.52,17765.0
2021-02-22,35.9,36.8524,35.56,35.56,9013.0
2021-02-19,35.78,36.44,35.5,36.44,14499.0
2021-02-18,35.75,36.08,35.12,35.22,8654.0
2021-02-17,35.75,36.22,35.23,35.64,17370.0
2021-02-16,35.58,36.3,35.26,35.52,12535.0
2021-02-12,35.86,36.35,35.5,35.97,14828.0
2021-02-11,36.0,36.3,35.43,35.43,7923.0
2021-02-10,34.82,36.4195,34.82,35.55,14469.0
2021-02-09,35.7,36.49,34.34,34.34,18080.0
2021-02-08,36.199,36.85,35.65,36.23,13319.0
2021-02-05,36.15,36.25,35.545,36.25,9387.0
2021-02-04,35.44,36.4,35.41,35.45,9877.0
2021-02-03,34.49,35.85,34.45,35.85,14589.0
2021-02-02,33.14,34.9,33.14,34.78,10217.0
2021-02-01,32.8,34.92,32.44,34.89,10861.0
2021-01-29,33.05,33.05,30.21,32.84,20368.0
2021-01-28,32.0,33.54,32.0,32.66,9892.0
2021-01-27,34.13,34.6799,30.27,32.25,20423.0
2021-01-26,33.29,35.14,33.29,34.17,8740.0
2021-01-25,34.84,35.5,34.62,35.0,7980.0
2021-01-22,34.25,35.25,34.25,35.25,9334.0
2021-01-21,34.95,35.15,34.66,34.66,6268.0
2021-01-20,36.2344,36.2344,34.62,34.62,8484.0
2021-01-19,35.74,35.82,34.48,35.82,10840.0
